State,Hotel Name,City,Check-in Date,Check-out Date,Total Price,Currency
New York,TownePlace Suites by Marriot Buffalo Airport,Buffalo,2024-12-25,2024-12-27,268.80,USD
New York,Fairfield Inn and Suites by Marriott Buffalo Airport,Buffalo,2024-12-25,2024-12-27,284.60,USD
New York,Aloft Buffalo Airport,Buffalo,2024-12-25,2024-12-27,317.36,USD
New York,Holiday Inn Exp Cheektowaga NE,Buffalo,2024-12-25,2024-12-27,343.34,USD
New York,Courtyard by Marriott Buffalo Airport,Buffalo,2024-12-25,2024-12-27,346.03,USD
North Carolina,Courtyard by Marriott Charlotte Airport North,Charlotte,2024-12-25,2024-12-27,251.25,USD
North Carolina,SpringHill Suites by Marriott Raleigh-Durham Airport Research Triangle Park,Raleigh,2024-12-25,2024-12-27,258.45,USD
North Carolina,Fairfield Inn and Suites by Marriott Raleigh-Durham Airport Brier Creek,Raleigh,2024-12-25,2024-12-27,268.40,USD
North Carolina,SpringHill Suites by Marriott Charlotte Airport,Charlotte,2024-12-25,2024-12-27,282.48,USD
North Carolina,Fairfield Inn and Suites by Marriott Raleigh-Durham Airport/RTP,Raleigh,2024-12-25,2024-12-27,302.17,USD
North Dakota,HOMEWOOD SUITES FARGO ND,Fargo,2024-12-25,2024-12-27,2121.60,USD
Ohio,TownePlace Suites by Marriott Columbus Airport Gahanna,Columbus,2024-12-25,2024-12-27,272.60,USD
Ohio,SpringHill Suites by Marriott Columbus Airport Gahanna,Columbus,2024-12-25,2024-12-27,272.60,USD
Ohio,Columbus Airport Marriott,Columbus,2024-12-25,2024-12-27,280.12,USD
Ohio,Courtyard by Marriott Columbus Airport,Columbus,2024-12-25,2024-12-27,287.64,USD
Ohio,Fairfield Inn and Suites by Marrriott Columbus Airport,Columbus,2024-12-25,2024-12-27,290.72,USD
Oregon,CANDLEWOOD SUITES AIRPORT,Portland,2024-12-25,2024-12-27,311.12,USD
Oregon,Courtyard by Marriott Portland Airport,Portland,2024-12-25,2024-12-27,318.02,USD
Oregon,Fairfield Inn and Suites by Marriott Portland Airport,Portland,2024-12-25,2024-12-27,322.48,USD
Oregon,Hyatt Place PDX Arpt Cascade Station,Portland,2024-12-25,2024-12-27,328.70,USD
Oregon,Aloft Portland Airport at Cascade Station,Portland,2024-12-25,2024-12-27,369.95,USD
Pennsylvania,Courtyard by Marriott Pittsburgh Airport,Pittsburgh,2024-12-25,2024-12-27,259.92,USD
Pennsylvania,Fairfield Inn by Marriott Philadelphia Airport,Philadelphia,2024-12-25,2024-12-27,276.21,USD
Pennsylvania,Sheraton Suites Philadelphia Airport,Philadelphia,2024-12-25,2024-12-27,321.18,USD
Pennsylvania,Aloft Philadelphia Airport,Philadelphia,2024-12-25,2024-12-27,338.27,USD
Pennsylvania,Sheraton Pittsburgh Airport Hotel,Pittsburgh,2024-12-25,2024-12-27,404.70,USD
Rhode Island,Courtyard by Marriott Providence Warwick,Providence,2024-12-25,2024-12-27,308.49,USD
Rhode Island,HOLIDAY INN EX HOTEL AND STES,Providence,2024-12-25,2024-12-27,491.66,USD
Rhode Island,CROWNE PLAZA WARWICK,Providence,2024-12-25,2024-12-27,641.96,USD
South Dakota,Sheraton Sioux Falls and Convention Center,Sioux Falls,2024-12-25,2024-12-27,263.21,USD
South Dakota,HOLIDAY INN CITY CENTRE,Sioux Falls,2024-12-25,2024-12-27,312.86,USD
Tennessee,HOMEWOOD SUITES NASHVILLE ARPT,Nashville,2024-12-25,2024-12-27,290.45,USD
Tennessee,Courtyard by Marriott Memphis Airport,Memphis,2024-12-25,2024-12-27,300.82,USD
Tennessee,FOUR POINTS AIRPORT NASHVILLE,Nashville,2024-12-25,2024-12-27,353.06,USD
Tennessee,TownePlace Suites by Marriott Nashville Airport,Nashville,2024-12-25,2024-12-27,379.55,USD
Tennessee,Sheraton Music City Hotel,Nashville,2024-12-25,2024-12-27,402.58,USD
South Carolina,SpringHill Suites by Marriott Charleston North-Ashley Phosphate,Charleston,2024-12-25,2024-12-27,204.92,USD
South Carolina,CANDLEWOOD SUITES NORTHWOODS,Charleston,2024-12-25,2024-12-27,239.35,USD
South Carolina,Fairfield Inn and Suites by Marriott Charleston North-Ashley Phosphate,Charleston,2024-12-25,2024-12-27,243.76,USD
South Carolina,Courtyard by Marriott Charleston North Airport-Coliseum,Charleston,2024-12-25,2024-12-27,263.32,USD
South Carolina,Aloft Charleston Airport and Convention Center,Charleston,2024-12-25,2024-12-27,263.92,USD
Texas,HOLIDAY INN EXP STES AIRPORT N,Dallas,2024-12-25,2024-12-27,262.20,USD
Texas,SpringHill Suites by Marriott Houston Intercontinental Airport,Houston,2024-12-25,2024-12-27,281.62,USD
Texas,HOLIDAY INN AIRPORT,Houston,2024-12-25,2024-12-27,286.42,USD
Texas,Courtyard by Marriott Dallas DFW Airport North/Irving,Dallas,2024-12-25,2024-12-27,360.82,USD
Texas,Sheraton North Houston at George Bush Intercontinental,Houston,2024-12-25,2024-12-27,375.93,USD
Utah,Hyatt Place Salt Lake City Airport,Salt Lake City,2024-12-25,2024-12-27,204.88,USD
Utah,HOLIDAY INN EXP STES ARPT EAST,Salt Lake City,2024-12-25,2024-12-27,255.78,USD
Utah,HOLIDAY INN HTL STES AIRPORT W,Salt Lake City,2024-12-25,2024-12-27,272.03,USD
Utah,SpringHill Suites by Marriott Salt Lake City Airport,Salt Lake City,2024-12-25,2024-12-27,298.20,USD
Utah,Courtyard by Marriott Salt Lake City Airport,Salt Lake City,2024-12-25,2024-12-27,316.88,USD
Vermont,Fairfield Inn by Marriott Burlington Williston,Burlington,2024-12-25,2024-12-27,265.10,USD
Vermont,Courtyard by Marriott Burlington Williston,Burlington,2024-12-25,2024-12-27,374.00,USD
Vermont,Courtyard by Marriott Burlington Harbor,Burlington,2024-12-25,2024-12-27,492.29,USD
Virginia,Courtyard by Marriott Richmond Airport,Richmond,2024-12-25,2024-12-27,298.95,USD
Virginia,FOUR POINTS AIRPORT RICHMOND,Richmond,2024-12-25,2024-12-27,315.12,USD
Virginia,HOLIDAY INN EXP RICHMOND ARPT,Richmond,2024-12-25,2024-12-27,332.78,USD
Virginia,HILTON GARDEN INN RICHMOND ARPT,Richmond,2024-12-25,2024-12-27,2188.80,USD
Virginia,HOMEWOOD STES RICHMOND ARPT,Richmond,2024-12-25,2024-12-27,2188.80,USD
West Virginia,Charleston Marriott Town Center,Charleston,2024-12-25,2024-12-27,292.67,USD
West Virginia,FOUR POINTS CHARLESTON,Charleston,2024-12-25,2024-12-27,302.84,USD
West Virginia,Courtyard by Marriott Charleston Downtown Civic Center,Charleston,2024-12-25,2024-12-27,330.63,USD
West Virginia,HAMPTON INN CHARLESTON DWTN,Charleston,2024-12-25,2024-12-27,2169.60,USD
Washington,TownePlace Suites by Marriott Seattle Southcenter,Seattle,2024-12-25,2024-12-27,214.88,USD
Washington,HOLIDAY INN EXP STE AIRPORT,Seattle,2024-12-25,2024-12-27,326.88,USD
Washington,Courtyard by Marriott Seattle Southcenter,Seattle,2024-12-25,2024-12-27,333.63,USD
Washington,Courtyard by Marriott Seattle Sea-Tac Area,Seattle,2024-12-25,2024-12-27,334.92,USD
Washington,Fairfield by Marriott Inn and Suites Seattle Sea-Tac Airport,Seattle,2024-12-25,2024-12-27,346.00,USD
Wisconsin,Courtyard by Marriott Milwaukee Airport,Milwaukee,2024-12-25,2024-12-27,267.96,USD
Wisconsin,HOLIDAY INN HTL AND SUITES APT,Milwaukee,2024-12-25,2024-12-27,284.30,USD
Wisconsin,Fairfield Inn and Suites by Marriott Milwaukee Airport,Milwaukee,2024-12-25,2024-12-27,291.25,USD
Wisconsin,HAMPTON INN MARTIN,MKL,2024-12-25,2024-12-27,294.12,USD
Wisconsin,CROWNE PLAZA AIRPORT,Milwaukee,2024-12-25,2024-12-27,298.64,USD
